E, 1 - qF(E), E_0, E_B, E_D, E_B(Theory), Sites, Localized State, Extended State, Dark State
-0.2200000000000486,0.9088903044418806,nan,nan,nan,nan,nan,nan,nan,nan
-0.2100000000000488,0.8945006019085432,nan,nan,nan,nan,nan,nan,nan,nan
-0.200000000000049,0.879962725912919,nan,nan,nan,nan,nan,nan,nan,nan
-0.1900000000000492,0.8652500172911809,nan,nan,nan,nan,nan,nan,nan,nan
-0.1800000000000495,0.8503346191205807,nan,nan,nan,nan,nan,nan,nan,nan
-0.1700000000000497,0.8351872632806999,nan,nan,nan,nan,nan,nan,nan,nan
-0.1600000000000499,0.8197770356983618,nan,nan,nan,nan,nan,nan,nan,nan
-0.1500000000000501,0.804071116061189,nan,nan,nan,nan,nan,nan,nan,nan
-0.1400000000000503,0.788034487083406,nan,nan,nan,nan,nan,nan,nan,nan
-0.1300000000000505,0.7716296075416715,nan,nan,nan,nan,nan,nan,nan,nan
-0.1200000000000507,0.7548160422296226,nan,nan,nan,nan,nan,nan,nan,nan
-0.1100000000000509,0.7375500406574104,nan,nan,nan,nan,nan,nan,nan,nan
-0.1000000000000512,0.7197840546822953,nan,nan,nan,nan,nan,nan,nan,nan
-0.09000000000005137,0.7014661832146669,nan,nan,nan,nan,nan,nan,nan,nan
-0.08000000000005159,0.6825395295915755,nan,nan,nan,nan,nan,nan,nan,nan
-0.0700000000000518,0.6629414540039416,nan,nan,nan,nan,nan,nan,nan,nan
-0.06000000000005201,0.642602699315143,nan,nan,nan,nan,nan,nan,nan,nan
-0.05000000000005222,0.6214463634666211,nan,nan,nan,nan,nan,nan,nan,nan
-0.04000000000005244,0.599386685094206,nan,nan,nan,nan,nan,nan,nan,nan
-0.03000000000005265,0.5763276005231712,nan,nan,nan,nan,nan,nan,nan,nan
-0.02000000000005286,0.5521610193526488,nan,nan,nan,nan,nan,nan,nan,nan
-0.01000000000005308,0.526764751532383,nan,nan,nan,nan,nan,nan,nan,nan
-5.329070518200751e-14,0.5000000000001464,nan,nan,nan,nan,nan,nan,nan,nan
0.009999999999946496,0.4717083079384885,nan,nan,nan,nan,nan,nan,nan,nan
0.01999999999994628,0.441707816191678,nan,nan,nan,nan,nan,nan,nan,nan
0.02999999999994607,0.4097886410166646,nan,nan,nan,nan,nan,nan,nan,nan
0.03999999999994586,0.3757071202821396,nan,nan,nan,nan,nan,nan,nan,nan
0.04999999999994564,0.3391785903630767,nan,nan,nan,nan,nan,nan,nan,nan
0.05999999999994543,0.2998682357064002,nan,nan,nan,nan,nan,nan,nan,nan
0.06999999999994522,0.2573793823368934,nan,nan,nan,nan,nan,nan,nan,nan
0.079999999999945,0.211238360784481,nan,nan,nan,nan,nan,nan,nan,nan
