q,W_dark,W_extended,W_localized,M_dark,M_extended,M_localized,l,N,q_theory,q_MSD,relative_error_percent
0.93,0.5000000000000006,0.4302161968791331,0.0697838031208665,3333.54,3323.979345070043,6.312406058503869,nan,nan,nan,nan,nan
0.9400000000000001,0.4999999999999979,0.4308650001130134,0.06913499988698937,3333.540000000001,3324.077782529836,6.263467632412844,nan,nan,nan,nan,nan
0.9500000000000001,0.5000000000000011,0.43151403160047,0.06848596839952727,3333.539999999999,3324.176340573827,6.216066481994458,nan,nan,nan,nan,nan
0.9600000000000001,0.4999999999999992,0.4321629868138522,0.06783701318614833,3333.54,3324.27495146287,6.170138888888897,nan,nan,nan,nan,nan
0.97,0.4999999999999981,0.4328115746655463,0.06718842533445532,3333.54,3324.373551130602,6.125624402168125,nan,nan,nan,nan,nan
0.98,0.5,0.4334595170745152,0.06654048292548516,3333.540000000001,3324.472079029542,6.082465639316949,nan,nan,nan,nan,nan
0.99,0.5000000000000022,0.4341065485439873,0.06589345145601046,3333.54,3324.570477982608,6.040608101214158,nan,nan,nan,nan,nan
1,0.5,0.4347524157501474,0.0652475842498529,3333.540000000001,3324.668694039811,6.000000000000011,nan,nan,nan,nan,nan
1.01,0.4999999999999997,0.4353968771415947,0.06460312285840528,3333.54,3324.766676340153,5.960592098813847,nan,nan,nan,nan,nan
1.02,0.4999999999999996,0.436039702549432,0.0639602974505686,3333.540000000001,3324.864376978465,5.922337562475976,nan,nan,nan,nan,nan
1.03,0.5000000000000023,0.4366806728076995,0.06331932719229805,3333.539999999999,3324.961750877096,5.88519181826751,nan,nan,nan,nan,nan
1.04,0.4999999999999984,0.4373195793840314,0.06268042061596955,3333.540000000001,3325.058755662334,5.849112426035504,nan,nan,nan,nan,nan
1.05,0.5000000000000027,0.4379562240202441,0.0620437759797531,3333.54,3325.155351545411,5.8140589569161,nan,nan,nan,nan,nan
1.06,0.4999999999999986,0.4385904183827991,0.06140958161720231,3333.540000000001,3325.251501207948,5.779992880028486,nan,nan,nan,nan,nan
1.07,0.5000000000000014,0.439221983722748,0.06077801627725144,3333.540000000001,3325.347169691756,5.746877456546428,nan,nan,nan,nan,nan
1.08,0.4999999999999982,0.4398507505451855,0.06014924945481662,3333.54,3325.442324292794,5.714677640603571,nan,nan,nan,nan,nan
